all, all, 0.9861, 0.0277, 0.4028, 0.6597, 0.0092, 0.4028, 0.9792, 0.0436, 0.3958, 0.4792, 0.0039, 0.3819, 0.9931, 0.0589, 0.1597, 0.9861, 0.0591, 0.1806, 0.7077, 0.9775, 0.0285, 0.1959, 0.0579, 0.9522, 0.7289, 0.9785, 0.0309, 0.1995, 0.0550, 0.9164
T, grid, 0.9861, 0.0345, 0.4028, 0.6250, 0.0103, 0.4028, 0.9861, 0.0539, 0.3889, 0.4306, 0.0022, 0.3889, 0.9861, 0.0665, 0.1667, 0.9861, 0.0667, 0.1806, 0.7099, 0.9806, 0.0486, 0.2043, 0.0699, 0.9409, 0.7308, 0.9811, 0.0529, 0.2105, 0.0667, 0.9103
T, random, 0.9861, 0.0209, 0.4028, 0.6944, 0.0083, 0.4028, 0.9722, 0.0331, 0.4028, 0.5278, 0.0053, 0.3750, 1.0000, 0.0513, 0.1528, 0.9861, 0.0515, 0.1806, 0.7052, 0.9740, 0.0064, 0.1866, 0.0448, 0.9634, 0.7270, 0.9757, 0.0069, 0.1874, 0.0422, 0.9226
m, 5, 1.0000, 0.0178, 0.5000, 0.7778, 0.0108, 0.5000, 1.0000, 0.0337, 0.5000, 0.5556, 0.0037, 0.4722, 1.0000, 0.0504, 0.2500, 1.0000, 0.0510, 0.2639, 0.6331, 0.9763, 0.0001, 0.1563, 0.0625, 0.9792, 0.6551, 0.9777, 0.0001, 0.1575, 0.0599, 0.9534
m, 10, 0.9722, 0.0379, 0.3056, 0.5417, 0.0070, 0.3056, 0.9583, 0.0539, 0.2917, 0.4028, 0.0042, 0.2917, 0.9861, 0.0674, 0.0694, 0.9722, 0.0675, 0.0972, 0.7978, 0.9786, 0.0558, 0.2339, 0.0536, 0.9252, 0.8117, 0.9793, 0.0588, 0.2375, 0.0505, 0.8795
B, 0.5000, 0.9722, 0.0308, 0.3333, 0.5833, 0.0069, 0.3333, 0.9722, 0.0457, 0.3333, 0.4306, 0.0066, 0.3194, 0.9861, 0.0594, 0.2222, 0.9722, 0.0578, 0.2222, 0.7744, 0.9599, 0.0508, 0.3491, 0.0447, 0.9413, 0.7913, 0.9623, 0.0542, 0.3502, 0.0425, 0.9038
B, 1.0000, 1.0000, 0.0247, 0.4722, 0.7361, 0.0111, 0.4722, 0.9861, 0.0414, 0.4583, 0.5278, 0.0017, 0.4444, 1.0000, 0.0584, 0.0972, 1.0000, 0.0604, 0.1389, 0.6374, 1.0000, 0.0000, 0.0000, 0.0749, 0.9630, 0.6601, 1.0000, 0.0000, 0.0000, 0.0714, 0.9291
D, 0.5, 0.9722, 0.0331, 0.3611, 0.6250, 0.0137, 0.3611, 0.9583, 0.0481, 0.3472, 0.4444, 0.0030, 0.3472, 0.9861, 0.0639, 0.1806, 0.9722, 0.0639, 0.2083, 0.8587, 0.9972, 0.0494, 0.1432, 0.0343, 0.9393, 0.8644, 0.9973, 0.0516, 0.1461, 0.0332, 0.9036
D, 1, 1.0000, 0.0224, 0.4444, 0.6944, 0.0052, 0.4444, 1.0000, 0.0392, 0.4444, 0.5139, 0.0047, 0.4167, 1.0000, 0.0539, 0.1389, 1.0000, 0.0544, 0.1528, 0.5707, 0.9505, 0.0000, 0.2677, 0.0902, 0.9651, 0.5908, 0.9504, 0.0000, 0.2791, 0.0875, 0.9293
V, 25, 0.9792, 0.0000, 0.8958, 0.9792, 0.0000, 0.8958, 0.9792, 0.0001, 0.8958, 0.9792, 0.0001, 0.8958, 0.9792, 0.0083, 0.3542, 0.9792, 0.0087, 0.4167, 0.6733, 0.9758, 0.0383, 0.1794, 0.0727, 0.9491, 0.6955, 0.9768, 0.0422, 0.1828, 0.0698, 0.8916
V, 49, 1.0000, 0.0190, 0.2917, 0.7292, 0.0085, 0.2917, 1.0000, 0.0240, 0.2708, 0.4583, 0.0121, 0.2500, 1.0000, 0.0484, 0.1250, 1.0000, 0.0493, 0.1250, 0.8223, 0.9801, 0.0000, 0.2397, 0.0176, 0.9551, 0.8303, 0.9811, 0.0000, 0.2407, 0.0171, 0.9299
V, 100, 0.9792, 0.0643, 0.0208, 0.2708, 0.0445, 0.0208, 0.9583, 0.1084, 0.0208, 0.0000, -nan, 0.0000, 1.0000, 0.1189, 0.0000, 0.9792, 0.1195, 0.0000, 0.8697, 0.9923, 0.0000, 0.2618, 0.0041, 0.9523, 0.8762, 0.9924, 0.0000, 0.2631, 0.0040, 0.9278
E, 24 48 99, 0.9583, 0.0169, 0.5625, 0.8333, 0.0086, 0.5625, 0.9375, 0.0190, 0.5417, 0.5417, 0.0030, 0.5000, 0.9792, 0.0290, 0.3750, 0.9583, 0.0248, 0.4167, 0.8090, 0.9861, 0.0443, 0.2219, 0.0629, 0.9028, 0.8219, 0.9862, 0.0471, 0.2263, 0.0597, 0.8499
E, 32 66 140, 1.0000, 0.0346, 0.3750, 0.6250, 0.0080, 0.3750, 1.0000, 0.0561, 0.3750, 0.4583, 0.0020, 0.3750, 1.0000, 0.0708, 0.1042, 1.0000, 0.0742, 0.1250, 0.6443, 0.9689, 0.0069, 0.1707, 0.0525, 0.9697, 0.6676, 0.9700, 0.0075, 0.1721, 0.0495, 0.9394
E, 40 84 180, 1.0000, 0.0312, 0.2708, 0.5208, 0.0117, 0.2708, 1.0000, 0.0540, 0.2708, 0.4375, 0.0071, 0.2708, 1.0000, 0.0762, 0.0000, 1.0000, 0.0768, 0.0000, 0.5227, 0.9566, 0.0012, 0.1314, 0.0469, 0.9840, 0.5419, 0.9593, 0.0013, 0.1283, 0.0438, 0.9600
